,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
10,01-May-2020 - 00:00,02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
11,02-May-2020 - 00:00,03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
12,03-May-2020 - 00:00,04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
13,04-May-2020 - 00:00,05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
14,05-May-2020 - 00:00,06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
15,06-May-2020 - 00:00,07-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
16,07-May-2020 - 00:00,08-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
17,08-May-2020 - 00:00,09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
18,09-May-2020 - 00:00,10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
19,10-May-2020 - 00:00,11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
20,11-May-2020 - 00:00,12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
21,12-May-2020 - 00:00,13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
22,13-May-2020 - 00:00,14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
23,14-May-2020 - 00:00,15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
24,15-May-2020 - 00:00,16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
25,16-May-2020 - 00:00,17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
26,17-May-2020 - 00:00,18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
27,18-May-2020 - 00:00,19-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
28,19-May-2020 - 00:00,20-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
29,20-May-2020 - 00:00,21-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
30,21-May-2020 - 00:00,22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
31,22-May-2020 - 00:00,23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
32,23-May-2020 - 00:00,24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
33,24-May-2020 - 00:00,25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
34,25-May-2020 - 00:00,26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
35,26-May-2020 - 00:00,27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
36,27-May-2020 - 00:00,28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
37,28-May-2020 - 00:00,29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
38,29-May-2020 - 00:00,30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
39,30-May-2020 - 00:00,31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
